Pavarde        Vardas         Galutinis(vid./med.)     
-----------------------------------------------------------------------------------------------------------------
Vardas63587    Pavarde63587   5                        
Vardas89496    Pavarde89496   5                        
Vardas63665    Pavarde63665   5                        
Vardas27652    Pavarde27652   5                        
Vardas63658    Pavarde63658   5                        
Vardas89513    Pavarde89513   5                        
Vardas18889    Pavarde18889   5                        
Vardas33848    Pavarde33848   5                        
Vardas41164    Pavarde41164   5                        
Vardas96071    Pavarde96071   5                        
Vardas69344    Pavarde69344   5                        
Vardas98223    Pavarde98223   5                        
Vardas96080    Pavarde96080   5                        
Vardas84612    Pavarde84612   5                        
Vardas27715    Pavarde27715   5                        
Vardas63576    Pavarde63576   5                        
Vardas52189    Pavarde52189   5                        
Vardas10122    Pavarde10122   5                        
Vardas52190    Pavarde52190   5                        
Vardas87195    Pavarde87195   5                        
Vardas10097    Pavarde10097   5                        
Vardas19066    Pavarde19066   5                        
Vardas78159    Pavarde78159   5                        
Vardas27532    Pavarde27532   5                        
Vardas52258    Pavarde52258   5                        
Vardas84683    Pavarde84683   5                        
Vardas63515    Pavarde63515   5                        
Vardas40796    Pavarde40796   5                        
Vardas69412    Pavarde69412   5                        
Vardas71933    Pavarde71933   5                        
Vardas79304    Pavarde79304   5                        
Vardas76456    Pavarde76456   5                        
Vardas92999    Pavarde92999   5                        
Vardas41624    Pavarde41624   5                        
Vardas41612    Pavarde41612   5                        
Vardas28013    Pavarde28013   5                        
Vardas58953    Pavarde58953   5                        
Vardas73270    Pavarde73270   5                        
Vardas41577    Pavarde41577   5                        
Vardas10383    Pavarde10383   5                        
Vardas46691    Pavarde46691   5                        
Vardas10380    Pavarde10380   5                        
Vardas76597    Pavarde76597   5                        
Vardas41547    Pavarde41547   5                        
Vardas49270    Pavarde49270   5                        
Vardas92938    Pavarde92938   5                        
Vardas56022    Pavarde56022   5                        
Vardas67715    Pavarde67715   5                        
Vardas71885    Pavarde71885   5                        
Vardas63795    Pavarde63795   5                        
Vardas2016     Pavarde2016    5                        
Vardas96039    Pavarde96039   5                        
Vardas10295    Pavarde10295   5                        
Vardas92845    Pavarde92845   5                        
Vardas96049    Pavarde96049   5                        
Vardas48832    Pavarde48832   5                        
Vardas59288    Pavarde59288   5                        
Vardas99150    Pavarde99150   5                        
Vardas40192    Pavarde40192   5                        
Vardas52604    Pavarde52604   5                        
Vardas9799     Pavarde9799    5                        
Vardas59265    Pavarde59265   5                        
Vardas40150    Pavarde40150   5                        
Vardas63146    Pavarde63146   5                        
Vardas80449    Pavarde80449   5                        
Vardas98271    Pavarde98271   5                        
Vardas40137    Pavarde40137   5                        
Vardas68023    Pavarde68023   5                        
Vardas76712    Pavarde76712   5                        
Vardas9755     Pavarde9755    5                        
Vardas74887    Pavarde74887   5                        
Vardas55596    Pavarde55596   5                        
Vardas89781    Pavarde89781   5                        
Vardas9735     Pavarde9735    5                        
Vardas59305    Pavarde59305   5                        
Vardas20077    Pavarde20077   5                        
Vardas27075    Pavarde27075   5                        
Vardas9693     Pavarde9693    5                        
Vardas55550    Pavarde55550   5                        
Vardas96220    Pavarde96220   5                        
Vardas55544    Pavarde55544   5                        
Vardas92344    Pavarde92344   5                        
Vardas78090    Pavarde78090   5                        
Vardas74865    Pavarde74865   5                        
Vardas84775    Pavarde84775   5                        
Vardas99202    Pavarde99202   5                        
Vardas73813    Pavarde73813   5                        
Vardas52330    Pavarde52330   5                        
Vardas92635    Pavarde92635   5                        
Vardas27411    Pavarde27411   5                        
Vardas19385    Pavarde19385   5                        
Vardas40701    Pavarde40701   5                        
Vardas63406    Pavarde63406   5                        
Vardas19442    Pavarde19442   5                        
Vardas76638    Pavarde76638   5                        
Vardas19454    Pavarde19454   5                        
Vardas84767    Pavarde84767   5                        
Vardas7062     Pavarde7062    5                        
Vardas18242    Pavarde18242   5                        
Vardas87125    Pavarde87125   5                        
Vardas69313    Pavarde69313   5                        
Vardas89632    Pavarde89632   5                        
Vardas84800    Pavarde84800   5                        
Vardas80488    Pavarde80488   5                        
Vardas40383    Pavarde40383   5                        
Vardas52532    Pavarde52532   5                        
Vardas92497    Pavarde92497   5                        
Vardas9827     Pavarde9827    5                        
Vardas79405    Pavarde79405   5                        
Vardas34328    Pavarde34328   5                        
