Pavarde        Vardas         Galutinis(vid./med.)     
-----------------------------------------------------------------------------------------------------------------
Vardas1969     Pavarde1969    9.9                      
Vardas74502    Pavarde74502   9.9                      
Vardas89547    Pavarde89547   9.8                      
Vardas54593    Pavarde54593   9.8                      
Vardas33938    Pavarde33938   9.8                      
Vardas28407    Pavarde28407   9.8                      
Vardas78546    Pavarde78546   9.7                      
Vardas48745    Pavarde48745   9.7                      
Vardas69876    Pavarde69876   9.7                      
Vardas90908    Pavarde90908   9.7                      
Vardas72477    Pavarde72477   9.7                      
Vardas66223    Pavarde66223   9.7                      
Vardas41949    Pavarde41949   9.6                      
Vardas7919     Pavarde7919    9.6                      
Vardas6984     Pavarde6984    9.6                      
Vardas70044    Pavarde70044   9.6                      
Vardas39790    Pavarde39790   9.6                      
Vardas15438    Pavarde15438   9.6                      
Vardas35273    Pavarde35273   9.6                      
Vardas6168     Pavarde6168    9.6                      
Vardas23533    Pavarde23533   9.5                      
Vardas25051    Pavarde25051   9.5                      
Vardas24350    Pavarde24350   9.5                      
Vardas59983    Pavarde59983   9.5                      
Vardas74558    Pavarde74558   9.5                      
Vardas14208    Pavarde14208   9.5                      
Vardas82370    Pavarde82370   9.5                      
Vardas23657    Pavarde23657   9.5                      
Vardas82719    Pavarde82719   9.5                      
Vardas13346    Pavarde13346   9.5                      
Vardas86484    Pavarde86484   9.5                      
Vardas48196    Pavarde48196   9.5                      
Vardas44207    Pavarde44207   9.5                      
Vardas89158    Pavarde89158   9.5                      
Vardas56539    Pavarde56539   9.5                      
Vardas83192    Pavarde83192   9.5                      
Vardas38901    Pavarde38901   9.5                      
Vardas94610    Pavarde94610   9.4                      
Vardas99319    Pavarde99319   9.4                      
Vardas73764    Pavarde73764   9.4                      
Vardas40288    Pavarde40288   9.4                      
Vardas30254    Pavarde30254   9.4                      
Vardas10834    Pavarde10834   9.4                      
Vardas33116    Pavarde33116   9.4                      
Vardas34580    Pavarde34580   9.4                      
Vardas49374    Pavarde49374   9.4                      
Vardas6487     Pavarde6487    9.4                      
Vardas23395    Pavarde23395   9.4                      
Vardas77284    Pavarde77284   9.4                      
Vardas83814    Pavarde83814   9.4                      
Vardas64253    Pavarde64253   9.4                      
Vardas80959    Pavarde80959   9.4                      
Vardas56634    Pavarde56634   9.4                      
Vardas33682    Pavarde33682   9.4                      
Vardas38686    Pavarde38686   9.4                      
Vardas35374    Pavarde35374   9.4                      
Vardas32529    Pavarde32529   9.4                      
Vardas18083    Pavarde18083   9.4                      
Vardas79852    Pavarde79852   9.4                      
Vardas18470    Pavarde18470   9.4                      
Vardas71402    Pavarde71402   9.4                      
Vardas53346    Pavarde53346   9.4                      
Vardas62483    Pavarde62483   9.4                      
Vardas73931    Pavarde73931   9.4                      
Vardas79322    Pavarde79322   9.4                      
Vardas16838    Pavarde16838   9.4                      
Vardas56501    Pavarde56501   9.4                      
Vardas17907    Pavarde17907   9.4                      
Vardas52466    Pavarde52466   9.4                      
Vardas40855    Pavarde40855   9.4                      
Vardas15909    Pavarde15909   9.4                      
Vardas55575    Pavarde55575   9.4                      
Vardas73015    Pavarde73015   9.4                      
Vardas41735    Pavarde41735   9.4                      
Vardas40037    Pavarde40037   9.4                      
Vardas17876    Pavarde17876   9.4                      
Vardas77476    Pavarde77476   9.4                      
Vardas87723    Pavarde87723   9.4                      
Vardas66584    Pavarde66584   9.4                      
Vardas76976    Pavarde76976   9.4                      
Vardas12538    Pavarde12538   9.4                      
Vardas29012    Pavarde29012   9.4                      
Vardas70013    Pavarde70013   9.4                      
Vardas1348     Pavarde1348    9.4                      
Vardas3162     Pavarde3162    9.4                      
Vardas67909    Pavarde67909   9.4                      
Vardas4042     Pavarde4042    9.4                      
Vardas99609    Pavarde99609   9.4                      
Vardas12947    Pavarde12947   9.4                      
Vardas39365    Pavarde39365   9.4                      
Vardas34451    Pavarde34451   9.4                      
Vardas77300    Pavarde77300   9.4                      
Vardas64909    Pavarde64909   9.4                      
Vardas32513    Pavarde32513   9.4                      
Vardas64336    Pavarde64336   9.4                      
Vardas98369    Pavarde98369   9.4                      
Vardas82350    Pavarde82350   9.4                      
Vardas42896    Pavarde42896   9.4                      
Vardas90992    Pavarde90992   9.4                      
Vardas9993     Pavarde9993    9.4                      
Vardas95875    Pavarde95875   9.4                      
Vardas35502    Pavarde35502   9.4                      
Vardas93537    Pavarde93537   9.4                      
Vardas23861    Pavarde23861   9.4                      
Vardas35360    Pavarde35360   9.4                      
Vardas87661    Pavarde87661   9.4                      
Vardas81896    Pavarde81896   9.4                      
Vardas45984    Pavarde45984   9.4                      
Vardas74935    Pavarde74935   9.4                      
Vardas15154    Pavarde15154   9.4                      
Vardas42168    Pavarde42168   9.4                      
Vardas58237    Pavarde58237   9.4                      
Vardas961      Pavarde961     9.4                      
Vardas17284    Pavarde17284   9.4                      
Vardas14445    Pavarde14445   9.4                      
Vardas6061     Pavarde6061    9.4                      
Vardas31602    Pavarde31602   9.4                      
Vardas3737     Pavarde3737    9.4                      
Vardas995      Pavarde995     9.4                      
Vardas89472    Pavarde89472   9.4                      
Vardas87637    Pavarde87637   9.4                      
Vardas99666    Pavarde99666   9.4                      
Vardas89093    Pavarde89093   9.4                      
Vardas63953    Pavarde63953   9.4                      
Vardas75916    Pavarde75916   9.4                      
Vardas10784    Pavarde10784   9.3                      
Vardas17677    Pavarde17677   9.3                      
Vardas19999    Pavarde19999   9.3                      
Vardas97551    Pavarde97551   9.3                      
Vardas61456    Pavarde61456   9.3                      
Vardas5948     Pavarde5948    9.3                      
Vardas98106    Pavarde98106   9.3                      
Vardas54680    Pavarde54680   9.3                      
Vardas53230    Pavarde53230   9.3                      
Vardas69684    Pavarde69684   9.3                      
Vardas44337    Pavarde44337   9.3                      
Vardas75295    Pavarde75295   9.3                      
Vardas74340    Pavarde74340   9.3                      
Vardas55721    Pavarde55721   9.3                      
Vardas4409     Pavarde4409    9.3                      
Vardas69878    Pavarde69878   9.3                      
Vardas25288    Pavarde25288   9.3                      
Vardas55618    Pavarde55618   9.3                      
Vardas77015    Pavarde77015   9.3                      
Vardas37895    Pavarde37895   9.3                      
Vardas90379    Pavarde90379   9.3                      
Vardas27487    Pavarde27487   9.3                      
Vardas88409    Pavarde88409   9.3                      
Vardas57293    Pavarde57293   9.3                      
Vardas87856    Pavarde87856   9.3                      
Vardas37578    Pavarde37578   9.3                      
Vardas38819    Pavarde38819   9.3                      
Vardas55782    Pavarde55782   9.3                      
Vardas3178     Pavarde3178    9.3                      
Vardas7033     Pavarde7033    9.3                      
Vardas83131    Pavarde83131   9.3                      
Vardas19220    Pavarde19220   9.3                      
Vardas93042    Pavarde93042   9.3                      
Vardas11518    Pavarde11518   9.3                      
Vardas51500    Pavarde51500   9.3                      
Vardas36561    Pavarde36561   9.3                      
Vardas43082    Pavarde43082   9.3                      
Vardas84965    Pavarde84965   9.3                      
Vardas89331    Pavarde89331   9.3                      
Vardas89976    Pavarde89976   9.3                      
Vardas56973    Pavarde56973   9.3                      
Vardas87737    Pavarde87737   9.3                      
Vardas13400    Pavarde13400   9.3                      
Vardas73482    Pavarde73482   9.3                      
Vardas14060    Pavarde14060   9.3                      
Vardas57231    Pavarde57231   9.3                      
Vardas69537    Pavarde69537   9.3                      
Vardas95476    Pavarde95476   9.3                      
Vardas81091    Pavarde81091   9.3                      
Vardas69016    Pavarde69016   9.3                      
Vardas93370    Pavarde93370   9.3                      
Vardas81095    Pavarde81095   9.3                      
Vardas4888     Pavarde4888    9.3                      
Vardas31840    Pavarde31840   9.3                      
Vardas86136    Pavarde86136   9.3                      
Vardas16962    Pavarde16962   9.3                      
Vardas96629    Pavarde96629   9.3                      
Vardas20553    Pavarde20553   9.3                      
Vardas96433    Pavarde96433   9.3                      
Vardas63922    Pavarde63922   9.3                      
Vardas50086    Pavarde50086   9.3                      
Vardas89892    Pavarde89892   9.3                      
Vardas53862    Pavarde53862   9.3                      
Vardas22977    Pavarde22977   9.3                      
Vardas69384    Pavarde69384   9.3                      
Vardas65226    Pavarde65226   9.3                      
Vardas88633    Pavarde88633   9.3                      
Vardas23853    Pavarde23853   9.3                      
Vardas69267    Pavarde69267   9.3                      
Vardas42847    Pavarde42847   9.3                      
Vardas84025    Pavarde84025   9.3                      
Vardas73638    Pavarde73638   9.3                      
Vardas72685    Pavarde72685   9.3                      
Vardas33858    Pavarde33858   9.3                      
Vardas55429    Pavarde55429   9.3                      
Vardas9020     Pavarde9020    9.3                      
Vardas65672    Pavarde65672   9.3                      
Vardas82344    Pavarde82344   9.3                      
Vardas33872    Pavarde33872   9.3                      
Vardas4920     Pavarde4920    9.3                      
Vardas96101    Pavarde96101   9.3                      
Vardas86856    Pavarde86856   9.2                      
Vardas92885    Pavarde92885   9.2                      
Vardas58773    Pavarde58773   9.2                      
Vardas83040    Pavarde83040   9.2                      
Vardas4824     Pavarde4824    9.2                      
Vardas86603    Pavarde86603   9.2                      
Vardas3712     Pavarde3712    9.2                      
Vardas50927    Pavarde50927   9.2                      
Vardas1684     Pavarde1684    9.2                      
Vardas33169    Pavarde33169   9.2                      
Vardas69664    Pavarde69664   9.2                      
Vardas97420    Pavarde97420   9.2                      
Vardas8389     Pavarde8389    9.2                      
Vardas27481    Pavarde27481   9.2                      
Vardas23666    Pavarde23666   9.2                      
Vardas35934    Pavarde35934   9.2                      
Vardas86814    Pavarde86814   9.2                      
Vardas95624    Pavarde95624   9.2                      
Vardas93914    Pavarde93914   9.2                      
Vardas1566     Pavarde1566    9.2                      
Vardas61887    Pavarde61887   9.2                      
Vardas50957    Pavarde50957   9.2                      
Vardas86627    Pavarde86627   9.2                      
Vardas59575    Pavarde59575   9.2                      
Vardas68907    Pavarde68907   9.2                      
Vardas55389    Pavarde55389   9.2                      
Vardas80009    Pavarde80009   9.2                      
Vardas17789    Pavarde17789   9.2                      
Vardas39159    Pavarde39159   9.2                      
Vardas5189     Pavarde5189    9.2                      
Vardas33805    Pavarde33805   9.2                      
Vardas62112    Pavarde62112   9.2                      
Vardas29690    Pavarde29690   9.2                      
Vardas12473    Pavarde12473   9.2                      
